Category,Guidelines,Priority,Count,Line,Description,Detail,Help,URL,Target URL,Reference
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,3,626 679 709 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/discover/publication,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,4,645 669 680 693 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/workflow,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,21323 21346 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/workflow/create,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 1994 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/select/0,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 503 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/explain/0,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 74 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/select/1,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 98 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/explain/1,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 219 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/select/2,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 357 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/explain/2,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
Accessibility,WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ,1,2,3 83 ,An element with aria-hidden=true contains focusable content.,,"The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.",https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430303637333131393830343438/sqlalchemy/select/3,,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html 
New ,Bug,2,,,,,,,,
