Category,Guidelines,Priority,Count,Line,Description,Detail,Help,URL,Target URL,Reference
"Accessibility","WCAG 2.1 A 4.1.2 Section 508 (2017) A 4.1.2 ","1","2",="544 552 ","ARIA role=button element is empty and has no accessible name.","","A name allows screen readers to voice what the control does. To add a name do one of the following: Add text between the element start and end tags Add an aria-label attribute Add an aria-labelledby attribute Add an img alt attribute if the button contains an img element","https://intdimensions.nhlbi.nih.gov/modules/workflow","","https://www.w3.org/WAI/WCAG21/Understanding/name-role-value.html https://www.w3.org/WAI/WCAG21/Understanding/name-role-value.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","3",="626 679 709 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/discover/publication","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","4",="645 669 680 693 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/workflow","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="21323 21346 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/workflow/create","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="3 1994 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430363635353330343830353736/sqlalchemy/select/0","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="3 503 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430363635353330343830353736/sqlalchemy/explain/0","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="3 74 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430363635353330343830353736/sqlalchemy/select/1","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="3 98 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430363635353330343830353736/sqlalchemy/explain/1","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="3 219 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430363635353330343830353736/sqlalchemy/select/2","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
"Accessibility","WCAG 2.1 A 1.3.1 Section 508 (2017) A 1.3.1 ","1","2",="3 357 ","An element with aria-hidden=true contains focusable content.","","The hidden element and its contents are not voiced by a screen reader, but the contents contain an element with tabindex set or active a, button, input, select and textarea controls. The user can tab to these and hears only silence.","https://intdimensions.nhlbi.nih.gov/modules/_debug_toolbar/313430363635353330343830353736/sqlalchemy/explain/2","","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html "
